'Status',No of Satellite,'HDop',Latitude,Longitude,Altitude,speed,'GCrs','Health'
3,11,1.05,39.3488072,-9.3206494,34.13,0.019,0,1
3,11,1.05,39.348807,-9.3206492,34.06,0.024,0,1
3,11,1.05,39.3488068,-9.3206489,34.01,0.03,0,1
3,11,1.05,39.3488066,-9.3206486,33.93,0.032,0,1
3,11,1.05,39.3488065,-9.3206483,33.89,0.013,0,1
3,11,1.05,39.3488064,-9.3206481,33.83,0.008,0,1
3,11,1.05,39.3488063,-9.3206478,33.79,0.03,0,1
3,11,1.05,39.3488062,-9.3206477,33.72,0.027,0,1
3,11,1.05,39.3488061,-9.3206475,33.68,0.03,0,1
3,11,1.05,39.3488061,-9.3206473,33.65,0.044,0,1
3,11,1.05,39.348806,-9.320647,33.62,0.017,0,1
3,11,1.05,39.3488059,-9.3206468,33.58,0.054,0,1
3,11,1.05,39.3488058,-9.3206466,33.54,0.025,0,1
3,11,1.05,39.3488058,-9.3206465,33.5,0.017,0,1
3,11,1.05,39.3488057,-9.3206464,33.48,0.024,0,1
3,11,1.05,39.3488057,-9.3206463,33.46,0.028,0,1
3,11,1.05,39.3488056,-9.3206462,33.42,0.023,0,1
3,11,1.05,39.3488055,-9.320646,33.4,0.02,0,1
3,11,1.05,39.3488054,-9.3206458,33.38,0.02,0,1
3,11,1.05,39.3488054,-9.3206457,33.36,0.003,0,1
3,11,1.05,39.3488054,-9.3206456,33.34,0.037,0,1
3,11,1.05,39.3488053,-9.3206455,33.31,0.017,0,1
3,11,1.05,39.3488053,-9.3206453,33.31,0.019,0,1
3,11,1.05,39.3488053,-9.3206451,33.28,0.03,0,1
3,11,1.05,39.3488053,-9.3206449,33.26,0.048,0,1
3,11,1.05,39.3488052,-9.3206446,33.23,0.017,0,1
3,11,1.05,39.3488052,-9.3206445,33.2,0.021,0,1
3,11,1.05,39.3488051,-9.3206443,33.18,0.037,0,1
3,11,1.05,39.3488051,-9.3206443,33.13,0.031,0,1
