'Alt','Press','Temp','Health'
-0.05986289,101624.9,23.78,1
0.00272104,101624.2,23.79,1
0.005442081,101624.2,23.79,1
0.05442081,101623.6,23.79,1
-0.1088416,101625.5,23.8,1
-0.05986289,101624.9,23.8,1
0.04353664,101623.7,23.8,1
0.01904728,101624,23.81,1
-0.06530496,101625,23.81,1
-0.1741466,101626.2,23.82,1
-0.05986289,101624.9,23.82,1
0.1006785,101623,23.82,1
0.1224468,101622.8,23.82,1
0.0136052,101624.1,23.83,1
0.02176832,101624,23.83,1
-0.04353664,101624.8,23.83,1
0.01904728,101624,23.83,1
0.1033995,101623,23.84,1
-0.03809457,101624.7,23.84,1
0.1496572,101622.5,23.85,1
0,101624.3,23.85,1
-0.06530496,101625,23.86,1
0.02448936,101623.9,23.86,1
0.1197258,101622.8,23.86,1
-0.01632624,101624.4,23.87,1
0.06258392,101623.5,23.87,1
0.05714184,101623.6,23.87,1
-0.03265248,101624.6,23.87,1
0.06258392,101623.5,23.88,1
0.09523641,101623.1,23.88,1
-0.005442081,101624.3,23.88,1
0.1306099,101622.7,23.89,1
-0.04353664,101624.8,23.89,1
-0.09251537,101625.3,23.9,1
-0.05442081,101624.8,23.9,1
-0.005442081,101624.3,23.9,1
-0.08163121,101625.2,23.9,1
0.1197258,101622.8,23.91,1
0.0408156,101623.8,23.91,1
-0.05442081,101624.9,23.92,1
0.005442081,101624.2,23.92,1
0.07891016,101623.3,23.92,1
-0.09795745,101625.4,23.93,1
0.07346809,101623.4,23.93,1
0.1687045,101622.3,23.93,1
0.1387731,101622.6,23.93,1
0.1088416,101623,23.94,1
0.01088416,101624.1,23.94,1
0.133331,101622.7,23.94,1
-0.04897872,101624.8,23.95,1
-0.03809457,101624.7,23.95,1
-0.05986289,101625,23.96,1
0.08435225,101623.2,23.96,1
0.0272104,101623.9,23.96,1
0.04897872,101623.7,23.96,1
0.005442081,101624.2,23.97,1
0.201357,101621.9,23.97,1
0.1578203,101622.4,23.97,1
-0.03265248,101624.6,23.98,1
0.09251537,101623.1,23.98,1
0.2666619,101621.1,23.98,1
0.1278889,101622.8,23.99,1
0.1278889,101622.7,23.99,1
0.1469362,101622.5,23.99,1
0.01632624,101624,24,1
0.1251678,101622.8,24,1
0.1550993,101622.4,24,1
0.08707329,101623.2,24.01,1
0.1496572,101622.5,24.01,1
0.02448936,101624,24.02,1
