'Airspeed','Temp','Health'
0.1188924,21.14,1
2.661758,21.18,1
1.752858,21.18,1
0.8638803,21.11,1
0.9512241,21.15,1
1.725513,21.18,1
3.829621,21.18,1
2.260627,21.18,1
3.598135,21.18,1
1.325852,21.11,1
1.683544,21.13,1
2.714833,21.19,1
4.542056,21.18,1
3.297801,21.18,1
2.469358,21.18,1
4.610831,21.18,1
3.439623,21.18,1
3.134457,21.18,1
3.663875,21.18,1
3.480861,21.19,1
3.566958,21.18,1
3.307402,21.18,1
3.169662,21.19,1
3.68545,21.18,1
2.846742,21.18,1
3.046544,21.19,1
3.363413,21.16,1
2.144645,21.11,1
3.149589,21.18,1
3.174661,21.19,1
2.437043,21.18,1
3.48996,21.19,1
2.430533,21.18,1
3.444233,21.18,1
3.842018,21.18,1
3.015166,21.19,1
3.964426,21.18,1
3.144554,21.18,1
2.940444,21.18,1
3.149589,21.18,1
2.673647,21.18,1
2.988754,21.18,1
2.722524,21.18,1
2.967465,21.18,1
3.013669,21.19,1
3.144554,21.18,1
3.180897,21.19,1
2.960596,21.19,1
3.339758,21.18,1
3.19457,21.19,1
2.951391,21.18,1
3.139511,21.18,1
3.189606,21.19,1
2.525118,21.18,1
2.994056,21.18,1
2.04612,21.18,1
2.022736,21.18,0
3.144554,21.18,0
2.513891,21.19,0
4.321858,21.19,0
2.818759,21.18,0
3.143293,21.18,0
3.144556,21.18,0
3.302603,21.18,0
3.467172,21.19,0
2.841168,21.18,0
3.268827,21.18,0
3.179646,21.19,0
3.149595,21.18,0
2.469356,21.18,0
2.972803,21.18,0
3.149589,21.18,0
3.004628,21.18,0
4.247731,21.18,0
4.668916,21.19,0
3.129392,21.18,0
3.159645,21.18,0
3.13066,21.18,0
2.857862,21.19,0
3.143294,21.18,0
2.81313,21.18,0
2.81313,21.18,0
3.435014,21.18,0
3.849234,21.19,0
2.808512,21.19,0
2.631813,21.18,0
2.801832,21.18,0
3.615516,21.19,0
2.649954,21.18,0
2.953892,21.18,0
2.488538,21.18,0
2.82438,21.18,0
2.45648,21.18,0
2.643833,21.18,0
3.866698,21.19,0
2.239493,21.18,0
1.539916,21.18,0
2.316052,21.19,0
2.302324,21.19,0
1.996835,21.18,0
2.026389,21.19,0
2.852306,21.19,0
3.63128,21.18,0
2.507577,21.19,0
2.582331,21.19,0
2.301539,21.19,0
4.238858,21.2,0
2.549758,21.2,0
3.816803,21.2,0
2.63632,21.2,0
1.267288,21.19,0
3.984371,21.19,0
2.053852,21.19,0
2.302321,21.19,0
1.518951,21.18,0
3.425774,21.18,0
2.26763,21.18,0
2.281572,21.18,0
2.026386,21.19,0
2.253602,21.18,0
2.48854,21.18,0
2.423995,21.18,0
2.501251,21.19,0
2.868935,21.19,0
3.119246,21.18,0
3.862598,21.19,0
4.408609,21.18,0
3.263973,21.18,0
3.288169,21.18,0
2.744272,21.18,0
3.025659,21.19,0
3.169662,21.19,0
2.737045,21.18,0
2.999346,21.18,0
2.980607,21.19,0
3.139511,21.18,0
2.829983,21.18,0
3.0099,21.18,0
3.327872,21.18,0
3.336039,21.19,0
3.129394,21.18,0
3.046544,21.19,0
2.857858,21.19,0
2.953892,21.18,0
3.327873,21.18,0
2.649821,21.18,0
3.124323,21.18,0
2.619736,21.18,0
2.994056,21.18,0
2.829985,21.18,0
2.643835,21.18,0
2.972803,21.18,0
2.673647,21.18,0
2.953892,21.18,0
3.144554,21.18,0
2.988756,21.18,0
2.846742,21.18,0
3.297801,21.18,0
4.123992,21.18,0
3.169659,21.19,0
3.004628,21.18,0
2.87996,21.19,0
2.978124,21.18,0
3.16215,21.18,0
2.926936,21.18,0
3.952412,21.18,0
3.056937,21.19,0
2.773011,21.19,0
3.16215,21.19,0
2.901903,21.19,0
3.004628,21.18,0
3.283347,21.18,0
4.343812,21.19,0
2.980607,21.19,0
2.994056,21.18,0
3.004624,21.18,0
3.020418,21.19,0
2.288665,21.18,0
2.926934,21.18,0
2.841168,21.18,0
2.469575,21.18,0
3.364429,21.19,0
2.818757,21.18,0
2.643833,21.18,0
3.467172,21.19,0
2.829983,21.18,0
3.149595,21.18,0
2.818759,21.18,0
3.14119,21.18,0
2.863397,21.19,0
2.758681,21.18,0
2.643835,21.18,0
3.508391,21.18,0
3.168414,21.19,0
3.738833,21.19,0
2.81313,21.18,0
3.18961,21.19,0
3.430398,21.18,0
2.960594,21.18,0
3.015162,21.19,0
2.962113,21.18,0
3.345528,21.19,0
3.430393,21.18,0
3.485725,21.18,0
2.835578,21.18,0
3.184634,21.19,0
3.339764,21.18,0
3.580264,21.18,0
2.602589,21.19,0
1.304279,21.19,0
1.849866,21.18,0
2.999346,21.18,0
2.737043,21.18,0
3.696187,21.19,0
3.331278,21.19,0
3.624278,21.19,0
3.297801,21.18,0
3.189606,21.19,0
3.17965,21.19,0
0.8727117,21.19,0
3.951544,21.18,0
3.435017,21.18,0
2.994056,21.18,0
2.953892,21.18,0
3.590784,21.18,0
3.184634,21.19,0
3.458017,21.19,0
2.999346,21.18,0
3.826859,21.18,0
0.9681197,21.18,0
2.841168,21.18,0
3.702763,21.18,0
3.194573,21.19,0
3.369298,21.19,0
2.780144,21.19,0
2.069402,21.18,0
1.917389,21.19,0
2.960594,21.19,0
2.947176,21.18,0
2.87996,21.19,0
3.124321,21.18,0
2.661764,21.18,0
2.852302,21.19,0
2.673643,21.18,0
1.976884,21.18,0
3.169662,21.19,0
3.105234,21.18,0
2.295424,21.19,0
2.361805,21.19,0
3.004628,21.18,0
2.813132,21.18,0
2.482158,21.18,0
2.501251,21.18,0
2.525118,21.18,0
2.703129,21.19,0
2.818763,21.18,1
3.268831,21.18,1
2.726491,21.19,1
2.509377,21.18,1
2.667708,21.18,1
2.703129,21.19,1
2.655798,21.18,1
2.852302,21.19,1
2.829985,21.18,1
2.708988,21.19,1
2.824378,21.18,1
3.345689,21.18,1
3.149589,21.18,1
2.994056,21.18,1
3.430398,21.18,1
3.339758,21.18,1
2.857858,21.19,1
3.312189,21.19,1
3.046547,21.19,1
3.214362,21.19,1
3.129394,21.18,1
3.11924,21.18,1
3.336039,21.19,1
3.627391,21.18,1
3.180897,21.19,1
3.130658,21.18,1
3.453427,21.18,1
3.514035,21.18,1
3.278516,21.18,1
3.569986,21.19,1
2.841168,21.18,1
3.514035,21.18,1
3.611131,21.19,1
3.847519,21.18,1
3.174659,21.19,1
3.749562,21.19,1
3.154623,21.18,1
3.134457,21.18,1
3.041336,21.19,1
2.493528,21.18,1
2.077056,21.18,1
2.540943,21.18,1
2.82438,21.18,1
3.508392,21.18,1
2.469351,21.18,1
3.046547,21.19,1
2.813126,21.18,1
3.162152,21.19,1
3.009902,21.18,1
3.209425,21.19,1
3.283347,21.18,1
3.584692,21.18,1
3.458014,21.19,1
3.3774,21.18,1
2.703129,21.19,1
3.219291,21.19,1
3.425774,21.18,1
3.194573,21.18,1
3.530911,21.19,1
2.953894,21.18,1
3.619897,21.19,1
3.149595,21.25,1
2.874452,21.21,1
2.913359,21.28,1
0.6036384,21.28,1
2.501253,21.22,1
3.2978,21.18,1
3.444235,21.18,1
3.530914,21.19,1
3.321913,21.18,1
2.824378,21.18,1
3.17965,21.24,1
3.580267,21.28,1
2.863401,21.22,1
3.65477,21.19,1
2.978132,21.22,1
3.453428,21.24,1
3.169659,21.19,1
3.0099,21.19,1
3.143291,21.18,1
3.139511,21.18,1
3.16466,21.2,1
3.562508,21.28,1
3.564427,21.26,1
4.336505,21.19,1
3.154621,21.2,1
3.288173,21.28,1
3.194573,21.28,1
3.357516,21.26,1
3.339762,21.21,1
2.983448,21.26,1
3.168412,21.19,1
3.653043,21.22,1
2.729793,21.28,1
3.458014,21.28,1
3.273676,21.28,1
3.60234,21.28,1
3.32175,21.28,1
4.209858,21.28,1
3.525297,21.28,1
2.98876,21.18,1
3.580267,21.18,1
3.159645,21.28,1
4.222562,21.28,1
2.967282,21.28,1
3.129392,21.28,1
3.297801,21.28,1
3.193331,21.28,1
3.184631,21.28,1
3.597936,21.28,1
3.144551,21.28,1
2.999346,21.28,1
2.813126,21.28,1
3.14119,21.28,1
2.852306,21.28,1
2.951395,21.28,1
3.062119,21.29,1
2.978128,21.28,1
3.292988,21.28,1
2.999346,21.28,1
2.978128,21.28,1
3.159642,21.28,1
2.488538,21.28,1
3.620098,21.28,1
3.430396,21.28,1
3.015162,21.28,1
2.655794,21.28,1
2.978132,21.28,1
3.139508,21.28,1
3.025657,21.28,1
1.134996,21.28,1
2.773011,21.28,1
2.994053,21.29,1
3.915594,21.29,1
3.009896,21.28,1
1.725513,21.28,1
2.829983,21.28,1
2.758681,21.28,1
2.940446,21.28,1
3.571399,21.28,1
3.48996,21.28,1
2.450014,21.28,1
2.253607,21.28,1
2.353405,21.29,1
2.036145,21.28,1
2.450021,21.28,1
2.631813,21.28,1
2.469356,21.28,1
3.439623,21.28,1
3.386898,21.28,1
2.053849,21.28,1
