'MagX','MagY',MagZ','Health',,,,,0
382,27,659,1,,,,,
384,29,661,1,,,,,
384,31,663,1,,,,,
383,29,661,1,,,,,
383,30,660,1,,,,,
384,27,658,1,,,,,
385,32,653,1,,,,,
386,33,658,1,,,,,
386,31,660,1,,,,,
386,32,663,1,,,,,
384,31,659,1,,,,,
386,33,663,1,,,,,
385,34,663,1,,,,,
381,32,660,1,,,,,
383,32,662,1,,,,,
385,30,670,1,,,,,
386,30,665,1,,,,,
384,31,666,1,,,,,
387,31,670,1,,,,,
383,33,668,1,,,,,
381,31,661,1,,,,,
384,34,663,1,,,,,
382,33,660,1,,,,,
382,33,663,1,,,,,
382,32,662,1,,,,,
382,31,659,1,,,,,
381,32,664,1,,,,,
383,32,666,1,,,,,
385,34,668,1,,,,,
384,32,667,1,,,,,
382,30,667,1,,,,,
381,31,662,1,,,,,
383,32,663,1,,,,,
382,33,662,1,,,,,
382,32,664,1,,,,,
384,29,663,1,,,,,
384,30,661,1,,,,,
383,27,660,1,,,,,
383,27,661,1,,,,,
382,30,657,1,,,,,
380,27,653,1,,,,,
382,30,654,1,,,,,
383,32,657,1,,,,,
382,32,652,1,,,,,
384,30,656,1,,,,,
384,25,658,1,,,,,
384,28,657,1,,,,,
383,29,657,1,,,,,
384,28,660,1,,,,,
382,28,658,1,,,,,
381,27,661,1,,,,,
382,28,659,1,,,,,
384,29,658,1,,,,,
383,31,662,1,,,,,
378,34,661,1,,,,,
377,31,659,1,,,,,
379,29,659,1,,,,,
381,29,664,1,,,,,
381,30,664,1,,,,,
382,28,664,1,,,,,
380,30,668,1,,,,,
379,31,660,1,,,,,
382,32,661,1,,,,,
382,33,664,1,,,,,
383,32,662,1,,,,,
383,30,663,1,,,,,
381,31,665,1,,,,,
382,30,665,1,,,,,
382,33,663,1,,,,,
385,31,663,1,,,,,
386,28,666,1,,,,,
385,33,667,1,,,,,
385,32,663,1,,,,,
384,34,665,1,,,,,
383,31,661,1,,,,,
382,30,667,1,,,,,
381,31,662,1,,,,,
382,32,659,1,,,,,
382,33,660,1,,,,,
383,34,657,1,,,,,
382,32,663,1,,,,,
383,34,662,1,,,,,
383,32,656,1,,,,,
382,30,658,1,,,,,
381,32,660,1,,,,,
383,28,661,1,,,,,
383,29,660,1,,,,,
384,31,659,1,,,,,
384,33,660,1,,,,,
385,32,657,1,,,,,
383,30,658,1,,,,,
383,35,658,1,,,,,
381,30,656,1,,,,,
384,30,658,1,,,,,
380,31,660,1,,,,,
381,33,660,1,,,,,
383,32,660,1,,,,,
384,33,652,1,,,,,
384,34,654,1,,,,,
389,34,652,1,,,,,
384,36,655,1,,,,,
385,38,658,1,,,,,
384,38,657,1,,,,,
384,38,654,1,,,,,
385,38,653,1,,,,,
386,34,653,1,,,,,
389,36,653,1,,,,,
385,36,655,1,,,,,
387,38,650,1,,,,,
388,38,658,1,,,,,
388,35,660,1,,,,,
385,33,655,1,,,,,
386,35,660,1,,,,,
387,34,662,1,,,,,
386,33,659,1,,,,,
384,34,661,1,,,,,
382,33,659,1,,,,,
382,36,663,1,,,,,
385,33,660,1,,,,,
384,33,665,1,,,,,
384,31,669,1,,,,,
385,33,668,1,,,,,
385,33,668,1,,,,,
384,34,669,1,,,,,
387,35,670,1,,,,,
387,34,669,1,,,,,
384,32,665,1,,,,,
386,29,667,1,,,,,
386,34,662,1,,,,,
385,33,660,1,,,,,
385,30,661,1,,,,,
385,33,667,1,,,,,
384,31,664,1,,,,,
384,30,665,1,,,,,
384,34,664,1,,,,,
384,30,660,1,,,,,
385,33,662,1,,,,,
387,32,664,1,,,,,
386,32,667,1,,,,,
383,31,663,1,,,,,
380,30,664,1,,,,,
380,32,670,1,,,,,
384,34,668,1,,,,,
384,34,668,1,,,,,
381,30,667,1,,,,,
380,29,668,1,,,,,
384,33,667,1,,,,,
383,32,666,1,,,,,
386,32,663,1,,,,,
388,30,662,1,,,,,
386,32,661,1,,,,,
384,32,665,1,,,,,
383,32,664,1,,,,,
383,32,663,1,,,,,
384,35,661,1,,,,,
383,30,664,1,,,,,
385,33,662,1,,,,,
386,33,661,1,,,,,
389,34,660,1,,,,,
388,32,660,1,,,,,
387,32,657,1,,,,,
386,31,665,1,,,,,
386,30,665,1,,,,,
384,29,658,1,,,,,
382,28,664,1,,,,,
383,30,663,1,,,,,
383,28,664,1,,,,,
384,27,663,1,,,,,
384,27,665,1,,,,,
384,31,664,1,,,,,
384,30,666,1,,,,,
383,32,667,1,,,,,
384,31,668,1,,,,,
384,32,665,1,,,,,
382,30,667,1,,,,,
383,30,668,1,,,,,
385,33,667,1,,,,,
386,31,664,1,,,,,
385,30,661,1,,,,,
386,32,660,1,,,,,
383,30,662,1,,,,,
383,32,660,1,,,,,
384,31,658,1,,,,,
383,34,663,1,,,,,
384,35,661,1,,,,,
383,32,664,1,,,,,
385,35,666,1,,,,,
383,34,662,1,,,,,
384,33,664,1,,,,,
382,32,659,1,,,,,
383,30,661,1,,,,,
383,33,665,1,,,,,
387,35,662,1,,,,,
388,33,662,1,,,,,
387,34,661,1,,,,,
382,33,659,1,,,,,
382,31,658,1,,,,,
384,32,657,1,,,,,
383,34,656,1,,,,,
387,32,657,1,,,,,
385,32,663,1,,,,,
385,34,658,1,,,,,
384,31,659,1,,,,,
384,34,658,1,,,,,
384,31,656,1,,,,,
381,33,661,1,,,,,
385,31,666,1,,,,,
383,33,666,1,,,,,
382,29,664,1,,,,,
385,30,662,1,,,,,
387,30,659,1,,,,,
389,33,660,1,,,,,
385,33,666,1,,,,,
387,36,662,1,,,,,
383,33,665,1,,,,,
382,32,661,1,,,,,
386,32,661,1,,,,,
384,30,663,1,,,,,
383,32,664,1,,,,,
384,30,663,1,,,,,
382,30,664,1,,,,,
381,33,661,1,,,,,
382,31,659,1,,,,,
385,31,661,1,,,,,
384,32,663,1,,,,,
383,31,662,1,,,,,
385,31,662,1,,,,,
387,32,662,1,,,,,
384,27,661,1,,,,,
384,29,660,1,,,,,
382,29,661,1,,,,,
384,29,662,1,,,,,
383,29,661,1,,,,,
384,30,664,1,,,,,
385,33,659,1,,,,,
386,29,664,1,,,,,
384,33,670,1,,,,,
385,32,668,1,,,,,
386,34,665,1,,,,,
387,30,665,1,,,,,
384,31,666,1,,,,,
385,31,663,1,,,,,
386,30,662,1,,,,,
389,28,664,1,,,,,
383,30,660,1,,,,,
388,29,658,1,,,,,
387,32,659,1,,,,,
385,34,664,1,,,,,
386,33,664,1,,,,,
384,32,663,1,,,,,
385,28,658,1,,,,,
385,33,659,1,,,,,
387,32,657,1,,,,,
385,32,657,1,,,,,
385,31,659,1,,,,,
384,30,656,1,,,,,
382,30,656,1,,,,,
385,31,659,1,,,,,
385,33,659,1,,,,,
385,35,660,1,,,,,
383,30,658,1,,,,,
385,31,658,1,,,,,
382,31,658,1,,,,,
382,29,661,1,,,,,
383,29,660,1,,,,,
383,29,654,1,,,,,
381,31,657,1,,,,,
383,32,657,1,,,,,
385,32,657,1,,,,,
387,29,659,1,,,,,
387,31,664,1,,,,,
385,30,660,0,,,,,
388,30,657,0,,,,,
386,32,658,0,,,,,
385,30,658,0,,,,,
386,31,660,0,,,,,
383,30,658,0,,,,,
387,31,657,0,,,,,
388,32,660,0,,,,,
384,29,659,0,,,,,
383,27,661,0,,,,,
381,28,660,0,,,,,
382,29,658,0,,,,,
385,30,662,0,,,,,
387,33,660,0,,,,,
386,34,659,0,,,,,
386,33,659,0,,,,,
386,35,664,0,,,,,
384,38,663,0,,,,,
383,34,664,0,,,,,
384,33,662,0,,,,,
384,36,660,0,,,,,
385,33,660,0,,,,,
385,37,658,0,,,,,
386,36,659,0,,,,,
384,35,661,0,,,,,
383,35,662,0,,,,,
386,36,662,0,,,,,
388,37,663,0,,,,,
388,34,664,0,,,,,
386,32,660,0,,,,,
386,35,659,0,,,,,
387,30,658,0,,,,,
386,32,657,0,,,,,
388,34,656,0,,,,,
386,28,660,0,,,,,
388,30,660,0,,,,,
389,32,659,0,,,,,
387,35,656,0,,,,,
388,33,660,0,,,,,
385,30,661,0,,,,,
383,32,658,0,,,,,
387,33,657,0,,,,,
387,34,658,0,,,,,
386,34,658,0,,,,,
382,37,659,0,,,,,
384,34,660,0,,,,,
383,35,660,0,,,,,
386,36,659,0,,,,,
386,35,656,0,,,,,
386,31,660,0,,,,,
387,31,661,0,,,,,
386,35,660,0,,,,,
390,30,662,0,,,,,
388,32,662,0,,,,,
389,29,666,0,,,,,
389,31,662,0,,,,,
387,32,665,0,,,,,
386,30,659,0,,,,,
387,30,660,0,,,,,
386,31,662,0,,,,,
388,32,661,0,,,,,
387,34,661,0,,,,,
388,31,664,0,,,,,
387,33,661,0,,,,,
386,30,659,0,,,,,
389,29,660,0,,,,,
386,30,661,0,,,,,
387,29,662,0,,,,,
388,30,662,0,,,,,
385,27,658,0,,,,,
386,26,664,0,,,,,
386,28,662,0,,,,,
385,27,668,0,,,,,
386,28,665,0,,,,,
387,31,663,0,,,,,
386,29,660,0,,,,,
382,31,660,0,,,,,
382,32,664,0,,,,,
385,30,659,0,,,,,
385,27,665,0,,,,,
382,29,658,0,,,,,
383,27,662,0,,,,,
385,29,662,0,,,,,
386,30,660,0,,,,,
382,29,662,0,,,,,
384,28,660,0,,,,,
384,29,663,0,,,,,
384,32,658,0,,,,,
385,33,659,0,,,,,
382,30,659,0,,,,,
387,32,661,0,,,,,
386,31,655,0,,,,,
384,34,658,0,,,,,
385,33,661,0,,,,,
385,32,660,0,,,,,
384,32,660,0,,,,,
387,32,662,0,,,,,
388,33,663,0,,,,,
385,34,666,0,,,,,
382,31,662,0,,,,,
382,32,665,0,,,,,
382,35,662,0,,,,,
384,34,663,0,,,,,
385,32,662,0,,,,,
384,32,664,0,,,,,
383,32,666,0,,,,,
384,34,666,0,,,,,
384,32,666,0,,,,,
386,30,665,0,,,,,
384,30,663,0,,,,,
385,29,663,0,,,,,
386,33,660,0,,,,,
383,31,664,0,,,,,
387,32,665,0,,,,,
386,30,668,0,,,,,
384,31,663,0,,,,,
385,29,659,0,,,,,
387,29,658,0,,,,,
386,30,662,0,,,,,
386,29,660,0,,,,,
386,30,658,0,,,,,
387,30,657,0,,,,,
386,31,660,0,,,,,
385,31,662,0,,,,,
386,29,664,0,,,,,
386,31,662,0,,,,,
384,33,663,0,,,,,
385,32,662,0,,,,,
387,32,664,0,,,,,
385,32,667,0,,,,,
388,29,668,0,,,,,
388,30,666,0,,,,,
387,32,668,0,,,,,
386,32,667,0,,,,,
386,31,669,0,,,,,
388,32,667,0,,,,,
389,30,666,0,,,,,
390,31,663,0,,,,,
389,28,663,0,,,,,
388,27,662,0,,,,,
388,29,658,0,,,,,
388,28,661,0,,,,,
388,32,662,0,,,,,
385,31,667,0,,,,,
384,28,666,0,,,,,
386,29,664,0,,,,,
387,26,666,0,,,,,
389,30,665,0,,,,,
388,28,668,0,,,,,
384,29,663,0,,,,,
387,29,662,0,,,,,
388,31,663,0,,,,,
386,26,666,0,,,,,
386,24,663,0,,,,,
386,25,665,0,,,,,
386,24,660,0,,,,,
383,27,661,0,,,,,
386,27,668,0,,,,,
387,31,662,0,,,,,
386,27,664,0,,,,,
387,27,668,0,,,,,
384,26,668,0,,,,,
386,29,665,0,,,,,
387,28,664,0,,,,,
385,27,664,0,,,,,
384,27,661,0,,,,,
385,29,665,0,,,,,
385,31,663,0,,,,,
385,30,659,0,,,,,
385,28,662,0,,,,,
386,28,664,0,,,,,
385,28,660,0,,,,,
385,27,663,0,,,,,
385,28,663,0,,,,,
385,25,663,0,,,,,
385,27,667,0,,,,,
386,26,667,0,,,,,
387,27,663,0,,,,,
385,26,663,0,,,,,
384,28,661,0,,,,,
384,30,664,0,,,,,
385,32,662,0,,,,,
388,28,664,0,,,,,
385,27,664,0,,,,,
383,28,664,0,,,,,
385,28,663,0,,,,,
387,27,663,0,,,,,
388,31,666,0,,,,,
387,33,664,0,,,,,
388,30,666,0,,,,,
388,33,668,0,,,,,
388,31,667,0,,,,,
385,31,667,0,,,,,
386,31,660,0,,,,,
386,27,666,0,,,,,
387,29,669,0,,,,,
385,29,668,0,,,,,
386,30,666,0,,,,,
385,30,667,0,,,,,
384,28,664,0,,,,,
384,27,660,1,,,,,
384,32,665,1,,,,,
382,31,660,1,,,,,
381,30,666,1,,,,,
382,27,667,1,,,,,
383,31,667,1,,,,,
384,30,669,1,,,,,
384,33,669,1,,,,,
384,31,663,1,,,,,
383,30,665,1,,,,,
384,31,670,1,,,,,
385,32,666,1,,,,,
385,32,664,1,,,,,
383,29,663,1,,,,,
386,27,664,1,,,,,
386,28,662,1,,,,,
385,31,663,1,,,,,
387,33,661,1,,,,,
385,30,665,1,,,,,
383,28,662,1,,,,,
384,28,662,1,,,,,
385,27,663,1,,,,,
384,31,661,1,,,,,
386,29,666,1,,,,,
384,27,663,1,,,,,
381,30,663,1,,,,,
382,26,664,1,,,,,
388,27,661,1,,,,,
386,27,662,1,,,,,
382,26,659,1,,,,,
382,29,663,1,,,,,
384,29,664,1,,,,,
385,32,664,1,,,,,
381,29,660,1,,,,,
382,31,663,1,,,,,
385,31,666,1,,,,,
385,29,664,1,,,,,
382,32,663,1,,,,,
383,28,666,1,,,,,
381,30,665,1,,,,,
382,32,664,1,,,,,
381,30,666,1,,,,,
383,31,666,1,,,,,
381,31,666,1,,,,,
381,30,666,1,,,,,
381,31,664,1,,,,,
385,29,667,1,,,,,
384,30,662,1,,,,,
382,32,664,1,,,,,
383,27,663,1,,,,,
382,27,663,1,,,,,
381,27,661,1,,,,,
384,29,662,1,,,,,
382,27,664,1,,,,,
382,28,666,1,,,,,
385,28,663,1,,,,,
387,26,664,1,,,,,
384,26,663,1,,,,,
382,28,665,1,,,,,
380,26,665,1,,,,,
382,26,667,1,,,,,
383,27,665,1,,,,,
381,27,670,1,,,,,
381,26,669,1,,,,,
383,29,670,1,,,,,
382,27,670,1,,,,,
382,29,668,1,,,,,
383,32,671,1,,,,,
385,28,669,1,,,,,
380,26,665,1,,,,,
381,27,670,1,,,,,
383,28,669,1,,,,,
384,33,666,1,,,,,
381,30,666,1,,,,,
383,28,668,1,,,,,
384,29,666,1,,,,,
387,29,665,1,,,,,
386,31,660,1,,,,,
385,30,665,1,,,,,
384,29,667,1,,,,,
387,32,670,1,,,,,
384,31,665,1,,,,,
385,31,668,1,,,,,
383,29,666,1,,,,,
387,27,666,1,,,,,
387,28,670,1,,,,,
387,30,670,1,,,,,
385,31,666,1,,,,,
384,31,664,1,,,,,
384,29,664,1,,,,,
384,30,663,1,,,,,
383,29,665,1,,,,,
383,30,665,1,,,,,
384,30,667,1,,,,,
383,29,667,1,,,,,
383,30,671,1,,,,,
383,31,668,1,,,,,
383,30,664,1,,,,,
385,27,664,1,,,,,
385,30,664,1,,,,,
385,30,665,1,,,,,
382,30,667,1,,,,,
384,28,665,1,,,,,
383,29,667,1,,,,,
383,27,667,1,,,,,
383,25,668,1,,,,,
383,27,666,1,,,,,
384,26,668,1,,,,,
383,29,669,1,,,,,
381,28,668,1,,,,,
381,29,667,1,,,,,
382,33,662,1,,,,,
383,34,659,1,,,,,
381,29,664,1,,,,,
380,28,665,1,,,,,
382,31,663,1,,,,,
381,31,665,1,,,,,
383,31,666,1,,,,,
382,31,665,1,,,,,
384,30,666,1,,,,,
382,30,663,1,,,,,
383,34,662,1,,,,,
384,31,657,1,,,,,
384,28,661,1,,,,,
383,29,662,1,,,,,
382,31,662,1,,,,,
384,32,662,1,,,,,
383,32,662,1,,,,,
382,31,662,1,,,,,
383,30,662,1,,,,,
383,29,665,1,,,,,
384,34,664,1,,,,,
386,31,663,1,,,,,
385,31,664,1,,,,,
384,32,660,1,,,,,
385,31,662,1,,,,,
385,32,659,1,,,,,
386,33,659,1,,,,,
383,31,659,1,,,,,
385,30,662,1,,,,,
383,29,660,1,,,,,
384,33,659,1,,,,,
389,31,660,1,,,,,
385,29,664,1,,,,,
385,27,660,1,,,,,
384,28,661,1,,,,,
384,33,663,1,,,,,
384,31,662,1,,,,,
384,32,663,1,,,,,
384,27,663,1,,,,,
386,30,658,1,,,,,
389,32,663,1,,,,,
388,34,664,1,,,,,
386,33,663,1,,,,,
388,33,662,1,,,,,
388,30,663,1,,,,,
387,32,663,1,,,,,
388,33,664,1,,,,,
390,32,664,1,,,,,
385,34,665,1,,,,,
386,34,662,1,,,,,
388,35,663,1,,,,,
386,33,664,1,,,,,
385,35,662,1,,,,,
382,32,665,1,,,,,
384,30,662,1,,,,,
386,30,664,1,,,,,
387,33,665,1,,,,,
384,35,664,1,,,,,
385,32,663,1,,,,,
387,31,664,1,,,,,
387,31,665,1,,,,,
388,30,659,1,,,,,
388,30,660,1,,,,,
385,31,662,1,,,,,
386,29,662,1,,,,,
387,32,664,1,,,,,
388,32,666,1,,,,,
384,32,667,1,,,,,
386,29,664,1,,,,,
388,30,661,1,,,,,
387,30,661,1,,,,,
388,32,659,1,,,,,
389,32,662,1,,,,,
387,30,663,1,,,,,
386,32,664,1,,,,,
386,31,663,1,,,,,
389,29,664,1,,,,,
387,24,666,1,,,,,
387,26,667,1,,,,,
386,29,666,1,,,,,
387,29,667,1,,,,,
386,31,664,1,,,,,
385,33,664,1,,,,,
385,29,662,1,,,,,
384,32,661,1,,,,,
387,31,662,1,,,,,
387,31,660,1,,,,,
386,32,662,1,,,,,
386,31,661,1,,,,,
385,32,661,1,,,,,
385,31,657,1,,,,,
384,34,661,1,,,,,
382,29,661,1,,,,,
383,28,663,1,,,,,
387,28,664,1,,,,,
384,28,658,1,,,,,
387,29,660,1,,,,,
389,29,662,1,,,,,
388,27,661,1,,,,,
388,27,663,1,,,,,
387,29,663,1,,,,,
388,30,665,1,,,,,
389,29,667,1,,,,,
384,28,665,1,,,,,
383,30,663,1,,,,,
384,29,663,1,,,,,
385,28,660,1,,,,,
385,30,659,1,,,,,
382,25,661,1,,,,,
382,26,663,1,,,,,
382,26,667,1,,,,,
383,28,663,1,,,,,
384,27,663,1,,,,,
384,30,667,1,,,,,
386,29,664,1,,,,,
387,30,662,1,,,,,
387,30,664,1,,,,,
388,24,662,1,,,,,
388,23,665,1,,,,,
385,29,663,1,,,,,
386,32,663,1,,,,,
386,29,662,1,,,,,
384,27,664,1,,,,,
385,26,667,1,,,,,
386,28,667,1,,,,,
385,32,664,1,,,,,
385,29,661,1,,,,,
384,29,666,1,,,,,
383,26,668,1,,,,,
380,27,668,1,,,,,
384,27,667,1,,,,,
386,27,668,1,,,,,
385,30,671,1,,,,,
385,25,667,1,,,,,
383,26,661,1,,,,,
384,30,662,1,,,,,
386,32,666,1,,,,,
