'GyrX','GyrY','GyrZ','AccX','AccY','AccZ','T gyro','T acc','GHz','AHz','Health gyro','Health acc',,,,0
0.0003168951,-0.0004407346,-0.0002209703,0.1591474,-0.3068475,-9.564571,23.5634,23.5634,1000,1000,1,1,,,,0
9.35E-05,0.0002348757,-0.000122323,0.1404775,-0.2869832,-9.56764,23.5634,23.5634,1000,1000,1,1,,,,0
-0.0004158608,0.0001752308,-9.45E-05,0.1563729,-0.2733723,-9.601158,23.56359,23.56359,1000,1000,1,1,,,,0
-0.00118015,0.0004349414,0.0008638599,0.1537796,-0.2771215,-9.57783,23.564,23.564,1000,1000,1,1,,,,0
3.81E-06,0.0008633657,0.0007619866,0.1387714,-0.2612163,-9.564251,23.56446,23.56446,1000,1000,1,1,,,,0
-0.0001113565,0.0005214193,0.0006864356,0.1609706,-0.2778818,-9.583645,23.56494,23.56494,1000,1000,1,1,,,,0
-0.00100068,0.000950298,0.0003345578,0.1672959,-0.2994667,-9.594155,23.56521,23.56521,1000,1000,1,1,,,,0
-0.0001037895,-0.0001282343,0.0007148249,0.1497552,-0.3023178,-9.589477,23.56557,23.56557,1000,1000,1,1,,,,0
0.0001143927,0.0013358,0.000432099,0.1654225,-0.3121038,-9.583088,23.56586,23.56586,1000,1000,1,1,,,,0
-0.0006864212,0.0009655721,-4.85E-05,0.1719539,-0.2858399,-9.612957,23.56642,23.56642,1000,1000,1,1,,,,0
-0.0002610065,0.0008231463,-0.0003072567,0.1811157,-0.2979317,-9.600489,23.56707,23.56707,1000,1000,1,1,,,,0
-0.0003614867,0.0001489107,2.23E-05,0.2070863,-0.2609998,-9.575199,23.56783,23.56783,1000,1000,1,1,,,,0
-9.00E-05,0.0005189916,3.67E-05,0.1908496,-0.2757296,-9.581956,23.56863,23.56863,1000,1000,1,1,,,,0
0.0001236672,0.0009199899,0.0001828395,0.1930012,-0.2782584,-9.620392,23.56936,23.56936,1000,1000,1,1,,,,0
0.0001713306,0.0003673338,-0.0003477478,0.1936587,-0.276777,-9.604046,23.57017,23.57017,1000,1000,1,1,,,,0
0.0003731865,0.0003322759,0.0002260204,0.1942677,-0.2884727,-9.573771,23.57095,23.57095,1000,1000,1,1,,,,0
-0.0001712581,0.0008903999,0.0003077452,0.1874242,-0.2952809,-9.596729,23.57182,23.57182,1000,1000,1,1,,,,0
0.0004688846,6.02E-06,0.0003526683,0.1678214,-0.2999986,-9.654042,23.57273,23.57273,1000,1000,1,1,,,,0
0.0002699244,-0.000381011,0.0004879924,0.1624546,-0.3001665,-9.592741,23.57352,23.57352,1000,1000,1,1,,,,0
0.001013924,-0.0003958095,0.0009629006,0.1568451,-0.2934929,-9.571534,23.57449,23.57449,1000,1000,1,1,,,,0
0.0006244082,-0.0001187957,0.001010836,0.163701,-0.3229577,-9.539083,23.57545,23.57545,1000,1000,1,1,,,,0
0.0002971792,-4.66E-05,0.001004366,0.1623847,-0.2969113,-9.591916,23.57635,23.57635,1000,1000,1,1,,,,0
6.50E-05,0.0004273166,0.0005198109,0.1665672,-0.3027846,-9.561926,23.57733,23.57733,1000,1000,1,1,,,,0
-0.000606803,0.0007249195,0.0007767121,0.1467814,-0.2866662,-9.522097,23.57839,23.57839,1000,1000,1,1,,,,0
